product_id,quantity,wholesale_cost,sale_price,supplier_id
ZRDATK9CSM23,3628,420.99,596.54,ZJPGZTLM
J7AXJJFK584N,2436,176.66,295.2,RUEYGNJW
4MNIIK8374AK,1857,114.44,162.62,MYRCTODR
ZL1HPKQIJ2CQ,2721,135.93,202.4,XDHMUWBY
9SXZFYC6WPGP,453,31.86,39.35,ZLTFWIEM
VWHL4ZJU5E7K,978,37.21,61.17,IWFWEGMW
AMC8KYLLLFX5,3456,430.58,797,SZBXULKZ
5YCW6KJVFUNQ,5246,371.8,534.65,LOUEWGQU
N29UPH6EC0V8,5021,411.49,656.74,VULJMYZU
VTULB4K9XHHP,4196,425.09,480.35,TPDPNKYI
RHPXPHGBJS1P,2773,124.99,174.11,DYCUYQFX
JL6LEU8X5ZBN,6463,404.76,628.19,BLKYVHGK
P7U7FKQ6LPH2,4779,369.22,637.64,XDKQBNHX
2MOR4KWGOW1J,5683,404.76,561.4,XDHMUWBY
45YQQOO2HFVJ,726,36.71,54.92,EIUMBEPJ
O1NIB8FV3U26,6289,394.09,554.09,IWFWEGMW
PCZEUJ1BC56K,4888,429.2,562.68,ASCYDYTE
MC8QH9N14OC6,2744,119.26,192.01,HUUDFQKQ
2N9OZPW7W7RE,3031,419.63,693.65,TPDPNKYI
UNFZL4J9AGXE,3873,407.45,709.37,XDKQBNHX
D2VSSOKIG5AB,450,47.24,63.11,KWZHPPSI
6T62U7SPWOJV,3246,415.55,650.34,IWFWEGMW
9MPVYWK7H2Y5,515,38.22,65.7,UKVXLLYL
CX6LNG5VS1DM,6076,455.63,580.02,EIUMBEPJ
3DG9X9C79GR5,230,14.71,23.89,IXWQZJJQ
H2X4Y5IRHN0T,2903,145.48,271.17,ZCDYQWKI
TQ2S8LPVJ6QU,4888,388.8,575.04,WXRIAWXC
3ONBSQ8WM261,2697,127.48,146.86,UKVXLLYL
RXRVC7CEBOUW,1469,127.48,202.95,SZBXULKZ
ZTAI1H8CJ5XV,4198,425.09,565.79,HWPQDXDV
WGFOEZCNA5FO,1625,124.99,156.86,TPDPNKYI
HKSNF6STKOGC,4108,346.27,398.9,SNQXWKEN
9KYK2DEVAIA6,6216,364.07,478.75,ZCDYQWKI
T5Q05YZMGTGR,4484,391.44,717.12,QHJAWQKY
6M73O03HU2V2,4078,336.27,471.45,XDKQBNHX
R43CILD9BLR8,3652,419.63,561.88,EIUMBEPJ
7GBS3ZBYMVEL,3936,410.14,596.34,NWQKMQNZ
S534CIJ869AZ,1200,123.34,149.98,CSIUUMRG
HI0M94WOGRCS,6121,404.76,530.64,DYCUYQFX
SUKHZLHRP8L6,4030,418.27,706.04,UKVXLLYL
87O1HKDOVYXW,1490,119.26,175.79,QJENHIIM
L72WZ7JHX1XA,6029,390.12,631.21,TATYTRUX
UHDSD2L5UF0X,3504,400.75,576.28,BLKYVHGK
